age,MonthlyIncome,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,RevolvingUtilizationOfUnsecuredLines,SeriousDlqin2yrs
60,6468.41,0.1997,6,2,0,0,0,0.0088,0
65,4200.34,0.0728,9,2,1,0,0,0.0854,1
63,2630.41,0.5721,7,1,1,0,1,0.1858,1
59,3330.63,0.5784,8,1,0,0,0,0.3222,1
66,3631.04,0.1036,2,0,0,0,0,0.4706,0
21,4148.05,0.5219,6,2,0,0,0,0.1205,1
72,7086.16,0.3946,3,0,0,0,0,0.1698,0
64,4286.23,0.1175,8,3,0,0,0,0.4001,0
64,1569.3,0.2532,10,2,1,1,0,0.1738,1
44,2598.29,0.2101,7,0,0,1,0,0.1317,0
68,4022.31,0.2579,8,1,2,0,0,0.5286,1
43,7147.19,0.1955,8,0,0,0,0,0.3273,0
23,7932.38,0.1412,8,2,0,0,1,0.3756,1
74,10559.82,0.2577,6,0,0,0,0,0.4347,1
34,3937.77,0.3552,6,1,0,0,0,0.2115,0
27,5755.93,0.1985,4,1,0,0,0,0.3271,0
57,1521.3,0.6495,8,1,0,0,0,0.2632,0
34,4712.29,0.321,2,1,0,0,0,0.4512,1
71,1909.97,0.5556,8,2,1,0,0,0.4815,1
47,3506.86,0.1171,7,1,1,0,0,0.4667,0
21,22424.36,0.1349,3,1,1,0,0,0.1365,1
77,4368.31,0.2307,5,0,0,1,1,0.0999,1
51,2168.33,0.4824,9,3,0,0,0,0.034,1
36,4650.24,0.3171,14,1,1,0,1,0.4248,1
60,2669.79,0.5224,8,3,0,0,0,0.4591,1
52,2045.82,0.0391,2,1,0,0,0,0.1525,0
22,12860.09,0.3033,2,1,0,0,1,0.3337,0
65,6905.59,0.8506,5,1,0,0,1,0.2506,1
44,4479.75,0.0913,6,2,0,0,0,0.6505,0
62,2878.16,0.2689,7,1,0,0,0,0.3804,1
73,3021.55,0.2257,6,0,1,0,0,0.0296,0
57,9186.49,0.2336,4,0,0,0,0,0.4414,0
60,4376.25,0.0557,4,1,0,0,0,0.3121,0
36,572.67,0.6058,5,1,0,0,0,0.4074,1
35,15561.62,0.1821,2,2,0,0,0,0.5579,1
45,4063.65,0.0931,5,1,0,0,0,0.1782,0
71,4473.93,0.1315,7,3,0,0,0,0.2812,1
51,6988.47,0.1128,5,1,0,0,0,0.4063,0
41,4813.8,0.1011,5,2,0,0,0,0.1268,0
66,5699.57,0.2516,0,0,0,0,0,0.1225,0
71,2823.59,0.4559,5,2,0,0,0,0.2929,0
74,1740.84,0.4254,3,1,0,1,0,0.0072,1
38,4307.62,0.1771,10,0,1,0,1,0.1951,0
62,8595.28,0.2693,8,0,1,0,1,0.1978,0
55,2468.38,0.2056,4,1,0,0,0,0.4378,1
47,2352.39,0.2049,5,0,0,0,0,0.2725,0
44,7575.02,0.0803,5,2,0,0,0,0.134,0
27,2767.37,0.1555,7,0,0,0,0,0.3126,1
37,2845.98,0.2595,4,1,0,0,0,0.1408,1
53,2910.6,0.2662,8,2,0,0,0,0.4726,1
73,3501.73,0.5124,6,0,0,0,0,0.6671,1
72,1416.32,0.4576,6,0,1,1,0,0.6239,0
32,2634.36,0.4304,3,2,0,0,0,0.4396,0
61,4180.64,0.3894,5,2,1,0,0,0.5404,1
26,4162.8,0.2961,3,1,0,0,0,0.123,0
60,7293.92,0.6797,4,0,0,0,0,0.4914,1
41,10977.85,0.4478,2,1,0,0,0,0.2308,0
47,9022.62,0.1198,4,0,0,0,0,0.3232,0
63,6303.07,0.1835,9,1,0,0,1,0.7318,1
46,3330.11,0.4543,6,1,0,0,0,0.3215,1
68,2505.29,0.0804,8,3,0,0,0,0.332,0
52,3680.22,0.2774,4,2,0,0,0,0.4405,0
79,5173.72,0.323,2,1,0,0,0,0.3245,0
58,5962.01,0.6802,6,0,0,1,0,0.1652,1
38,5291.47,0.6402,5,2,0,0,0,0.3336,1
66,3385.63,0.232,13,0,0,0,0,0.3627,0
45,5837.85,0.0258,5,2,2,0,0,0.1629,0
52,7758.34,0.3242,10,1,1,0,0,0.4928,1
29,6173.96,0.0157,7,2,0,0,0,0.234,0
28,3571.68,0.0359,6,1,0,0,0,0.2055,0
54,2207.67,0.1723,8,1,1,0,0,0.3005,1
32,2176.47,0.0219,10,4,1,0,0,0.1446,1
79,2419.39,0.1357,8,1,0,1,1,0.1513,0
71,4248.18,0.4172,9,0,0,0,0,0.2002,0
62,4973.52,0.2059,8,1,1,0,0,0.7665,1
64,1558.19,0.2661,3,0,0,0,0,0.6871,0
56,2690.82,0.1161,13,1,0,0,0,0.2065,0
24,4213.17,0.5008,6,3,1,0,0,0.1686,0
44,2122.16,0.3547,3,0,0,0,0,0.4774,1
50,4723.68,0.1061,4,0,0,0,0,0.3626,0
75,3027.65,0.2328,4,1,0,0,0,0.3327,1
33,2358.89,0.342,6,0,0,0,0,0.4914,0
50,3759.06,0.0981,11,0,0,0,0,0.4649,0
41,4607.17,0.0728,4,0,0,0,0,0.1462,0
28,2188.31,0.1054,10,1,0,0,0,0.4557,0
27,3147.72,0.6728,4,3,0,0,0,0.2712,1
42,4820.38,0.163,10,0,0,0,1,0.1451,1
25,2304.79,0.1292,4,0,0,0,0,0.4634,1
24,1346.61,0.1062,5,1,1,0,0,0.3914,0
41,1448.17,0.1294,7,0,0,0,0,0.0485,1
32,2833.22,0.1832,6,3,0,0,0,0.5153,0
53,1650.69,0.0712,6,1,0,0,2,0.3069,1
22,2955.33,0.6324,3,3,0,0,0,0.0944,0
38,9886.9,0.097,5,2,0,0,0,0.4342,0
47,1592.15,0.2144,4,1,1,0,1,0.401,0
77,3073.08,0.0661,3,1,0,1,0,0.1879,0
58,13087.11,0.0967,5,0,0,0,0,0.5787,1
72,4651.19,0.1257,5,2,2,0,0,0.6108,1
41,2920.08,0.8051,6,3,1,1,0,0.3284,0
47,3313.86,0.1897,7,1,0,0,0,0.322,1
45,4710.82,0.0885,8,1,0,0,0,0.1633,0
73,10071.48,0.3736,4,1,0,0,0,0.2749,1
77,2647.81,0.4469,4,0,1,0,0,0.4152,1
77,2311.0,0.3372,4,1,0,0,0,0.014,1
65,1591.95,0.1005,6,1,0,0,0,0.2668,0
50,3873.28,0.0576,5,2,0,0,0,0.366,1
52,1566.48,0.3953,5,2,0,0,0,0.2798,0
78,2756.54,0.401,8,1,0,0,0,0.0422,0
37,2110.73,0.0528,2,0,0,0,0,0.285,0
41,6935.96,0.0435,5,1,1,1,0,0.1881,0
73,2683.73,0.2988,7,2,0,0,0,0.2905,0
43,4620.04,0.1342,5,0,0,0,1,0.2907,1
34,1390.68,0.3022,3,0,0,0,0,0.1391,0
54,3939.87,0.3108,9,2,0,0,0,0.1613,1
40,1768.88,0.4194,9,0,0,1,0,0.2979,1
73,2820.33,0.214,3,0,1,0,0,0.1871,0
74,13721.53,0.426,6,2,0,0,0,0.2879,0
39,6369.68,0.2732,11,1,0,1,0,0.2185,1
52,3370.96,0.2974,5,0,0,0,0,0.0813,0
79,24819.01,0.2085,6,0,0,0,0,0.6187,1
64,2102.53,0.0877,9,2,0,0,0,0.213,0
33,7325.6,0.2968,8,1,0,0,0,0.5874,1
55,1451.56,0.5499,7,1,2,0,0,0.0644,1
57,3145.24,0.2356,9,2,0,0,0,0.3315,0
59,1621.86,0.4281,4,2,0,1,0,0.386,1
22,4248.69,0.3492,3,1,0,0,0,0.3475,1
38,3765.3,0.2871,5,3,0,0,0,0.4554,0
71,3027.22,0.5196,10,0,0,0,0,0.3122,1
35,7010.99,0.1662,11,0,0,0,0,0.0544,0
38,2590.85,0.2899,5,0,1,0,0,0.1004,0
40,4429.81,0.4776,8,1,0,1,0,0.1684,1
31,5957.06,0.1641,6,0,0,0,0,0.3565,0
30,1495.28,0.4126,8,1,0,0,0,0.3192,1
41,2323.78,0.323,7,1,0,0,0,0.3298,0
72,3760.54,0.1593,6,2,1,0,0,0.4681,0
21,5313.96,0.1441,5,0,0,0,0,0.5657,1
37,8541.93,0.2265,5,5,0,0,0,0.3175,0
24,3198.61,0.1352,2,0,0,0,1,0.6056,1
54,3011.27,0.3061,8,3,0,0,0,0.8185,1
35,2156.93,0.0751,7,0,1,0,0,0.177,0
67,4438.14,0.2316,9,2,0,1,0,0.1111,1
55,3046.44,0.0672,6,0,0,0,0,0.6182,0
67,3088.93,0.0428,5,1,0,0,0,0.1308,1
58,3441.51,0.3379,3,2,1,1,1,0.4346,1
46,5069.4,0.0482,5,0,2,1,0,0.5194,0
71,2596.09,0.7185,9,0,0,0,0,0.39,1
49,2290.91,0.2792,7,1,0,0,0,0.3362,0
77,4717.5,0.4014,4,0,0,0,0,0.0394,0
79,592.63,0.379,10,2,0,0,0,0.4329,0
55,2534.61,0.2811,5,1,0,0,0,0.322,1
60,1824.78,0.0601,9,2,0,0,0,0.5412,0
36,7494.73,0.1478,5,0,0,1,0,0.0496,1
69,2794.59,0.3943,8,0,0,1,0,0.3247,0
60,2600.79,0.3247,6,1,0,1,0,0.3148,0
74,3536.27,0.5693,5,3,0,0,0,0.3878,0
36,2547.27,0.257,6,0,0,0,0,0.0502,0
67,2859.53,0.4249,9,0,0,0,1,0.4069,0
48,3859.4,0.2098,6,1,3,0,0,0.3433,1
31,2826.45,0.2201,4,0,0,0,0,0.1233,1
31,2814.3,0.4824,2,2,0,0,0,0.2572,0
54,1986.05,0.0638,8,1,0,0,1,0.3126,1
39,1822.07,0.3284,4,1,0,0,0,0.1765,0
27,3775.86,0.315,4,1,0,0,0,0.2042,1
46,4376.31,0.2183,7,2,0,1,0,0.1722,1
59,1545.51,0.2073,7,0,0,0,0,0.5391,0
39,5744.31,0.1636,12,0,2,0,0,0.0903,1
77,5758.48,0.6685,10,0,0,0,0,0.1783,0
66,6534.25,0.1656,5,0,0,0,0,0.0445,1
51,4358.72,0.423,5,0,0,0,0,0.4701,0
76,5336.09,0.3605,5,0,1,0,0,0.4631,0
46,13507.7,0.2257,5,1,0,0,0,0.2717,1
29,3038.4,0.1121,2,2,0,0,0,0.2795,0
23,1944.16,0.2208,4,0,0,0,0,0.1732,1
76,1450.36,0.1806,6,0,1,0,0,0.2674,0
77,10440.05,0.3818,10,1,0,0,0,0.706,1
64,10522.51,0.2225,3,2,0,0,0,0.1806,1
27,2090.67,0.4111,3,0,0,0,0,0.1314,1
38,2353.38,0.3908,9,0,0,0,0,0.6504,0
23,2997.71,0.4586,5,1,0,0,0,0.3068,1
24,7589.75,0.5564,7,0,1,0,0,0.2046,1
35,1681.8,0.3086,4,2,0,1,0,0.2398,1
54,1118.82,0.6497,6,1,0,0,0,0.4894,1
24,13366.52,0.4099,6,2,0,0,0,0.3299,0
79,4391.49,0.2387,5,1,0,0,1,0.329,1
47,4782.16,0.2274,4,2,0,0,0,0.6579,1
36,3219.36,0.6741,5,3,0,0,0,0.5689,1
51,4814.9,0.4099,7,1,0,0,0,0.0125,0
67,1467.74,0.3387,6,3,0,0,0,0.4078,0
39,2198.32,0.2929,3,0,1,0,0,0.135,1
23,3878.08,0.3649,4,1,1,0,0,0.2673,0
24,932.12,0.3984,7,2,1,0,0,0.3047,1
71,3036.59,0.2787,4,1,0,0,0,0.3561,0
27,2926.32,0.4341,4,1,0,0,0,0.3048,1
58,3036.27,0.3286,7,1,0,1,0,0.0143,1
43,2615.87,0.5132,6,2,0,0,0,0.4103,1
66,2003.13,0.3753,8,0,0,0,1,0.4208,1
24,1220.21,0.4507,3,0,0,0,0,0.6919,0
73,3971.3,0.2365,2,1,1,0,1,0.6652,1
62,3040.95,0.2959,12,3,1,0,0,0.0656,1
47,1595.32,0.1916,8,1,0,0,1,0.6449,0
33,3780.15,0.0242,6,1,0,2,0,0.2133,1
78,3050.41,0.4535,8,0,0,0,0,0.1228,0
38,2761.1,0.1898,5,0,0,0,1,0.1996,1
49,998.11,0.2777,4,0,0,0,0,0.2309,0
44,5484.39,0.4001,5,0,0,0,1,0.2265,1
34,1737.44,0.295,3,1,3,0,0,0.6349,0
45,3781.83,0.1056,10,3,0,0,0,0.2445,1
29,2241.81,0.1959,3,1,1,0,0,0.1553,0
21,2883.51,0.1417,7,0,0,0,0,0.5035,0
38,7269.01,0.0928,7,1,0,0,0,0.4906,0
27,5008.9,0.4662,4,0,1,0,0,0.2262,0
45,7172.6,0.3237,11,1,0,0,0,0.1297,1
71,4439.21,0.567,6,1,0,0,0,0.7205,1
30,4617.86,0.3738,5,0,0,1,0,0.0389,0
21,1250.52,0.3474,6,1,1,1,0,0.2149,1
27,3009.37,0.2312,7,1,0,1,0,0.6652,1
50,3181.33,0.5072,6,2,2,0,0,0.4273,0
37,7587.06,0.3238,8,0,0,0,2,0.6552,1
49,2687.22,0.114,4,0,0,0,0,0.4284,1
22,4268.06,0.1362,3,0,0,0,0,0.1323,1
40,4169.1,0.1422,7,2,0,0,0,0.4534,1
45,7292.52,0.2089,5,0,0,0,0,0.0944,1
46,3360.19,0.6564,2,1,0,0,1,0.1642,1
53,5982.97,0.3693,6,2,1,1,0,0.1925,1
67,1309.08,0.214,9,1,0,0,0,0.0041,0
48,1382.42,0.1505,9,1,0,0,0,0.0498,0
70,925.18,0.1526,1,1,1,0,0,0.2819,1
52,5834.78,0.2807,9,0,0,0,0,0.448,1
36,5454.52,0.489,5,1,0,0,0,0.2778,0
34,6236.01,0.5359,10,2,0,0,0,0.413,0
40,2424.99,0.3801,7,2,0,0,0,0.1972,0
56,2596.37,0.3465,6,1,0,0,0,0.5379,0
35,3385.89,0.0513,6,2,1,0,0,0.7333,1
74,8657.83,0.144,6,2,0,0,0,0.0815,0
49,10059.74,0.3499,4,2,0,0,0,0.1952,0
71,5862.23,0.5851,7,0,0,0,0,0.1403,0
61,4440.9,0.7485,6,1,1,0,0,0.3158,0
40,8113.05,0.5053,3,2,0,0,0,0.5775,1
34,3122.83,0.0693,6,2,0,0,1,0.5005,0
64,2879.68,0.0624,3,1,0,1,0,0.3484,0
40,3369.73,0.2269,6,1,1,0,0,0.3818,0
35,2023.88,0.5156,11,1,0,0,0,0.372,1
75,3278.02,0.1942,3,1,0,0,1,0.1104,0
49,1862.28,0.3447,6,1,0,0,0,0.573,1
23,6734.54,0.6648,8,0,0,0,0,0.0127,0
50,5045.3,0.5077,2,0,0,0,0,0.0292,0
48,8584.71,0.422,5,0,0,0,0,0.3679,0
71,1369.81,0.28,6,1,1,1,0,0.1516,0
62,11396.01,0.2241,7,2,0,0,0,0.2888,1
32,1417.31,0.3293,3,3,1,1,0,0.0818,0
29,1774.04,0.1452,7,1,0,0,0,0.1365,0
56,2508.67,0.36,4,0,0,1,0,0.5878,1
23,7979.51,0.5923,5,2,1,0,0,0.0467,1
39,4168.64,0.0503,7,1,0,0,0,0.2231,0
29,3145.42,0.0509,6,0,0,1,0,0.4006,1
22,2262.95,0.3486,4,0,0,0,0,0.4341,1
75,1594.7,0.1149,7,4,3,0,0,0.4626,1
26,7183.75,0.2108,3,2,1,0,0,0.5648,1
21,5879.24,0.636,7,0,1,0,0,0.0596,1
76,8196.56,0.2236,3,1,0,0,2,0.4212,0
32,4619.73,0.4676,11,0,2,1,0,0.1154,1
69,746.01,0.2331,9,0,0,1,0,0.4069,1
22,1725.46,0.344,9,2,0,0,0,0.3292,1
30,4812.26,0.2979,7,0,0,1,0,0.4606,0
27,2916.59,0.4277,3,3,1,1,0,0.0522,1
62,2603.72,0.1146,8,1,0,0,1,0.2985,0
57,1878.19,0.4094,4,1,1,1,0,0.4973,1
49,6428.87,0.0419,8,0,0,1,0,0.5153,1
35,4787.27,0.2806,9,0,1,1,1,0.3196,1
26,4918.28,0.1724,7,2,1,0,0,0.6343,1
54,2489.5,0.7489,8,0,0,0,1,0.3406,0
34,4047.17,0.3734,12,1,0,0,0,0.4685,0
55,1631.64,0.0962,7,2,1,0,0,0.1592,1
61,3368.1,0.3585,7,0,0,0,0,0.5951,1
71,798.91,0.4045,4,3,0,0,0,0.1796,0
50,1421.02,0.2219,1,1,0,1,0,0.1548,0
21,3000.74,0.4489,9,0,0,0,0,0.3204,1
37,15139.63,0.1772,8,4,1,0,0,0.0898,1
71,1235.9,0.3943,9,0,1,0,0,0.1975,1
52,1726.5,0.2458,14,0,0,1,0,0.5445,0
57,4146.69,0.745,2,1,0,0,0,0.05,1
48,10526.53,0.2453,6,0,1,0,0,0.3042,0
30,4110.51,0.6337,1,1,0,0,0,0.2116,1
73,5548.51,0.0943,5,1,0,0,0,0.4387,1
66,2973.33,0.276,6,0,0,1,0,0.5745,0
79,2680.15,0.0556,0,2,0,0,0,0.5478,0
71,3824.99,0.4562,9,0,1,0,0,0.094,0
38,2452.9,0.4582,12,1,0,1,0,0.6753,1
36,5622.67,0.3727,5,0,0,0,0,0.3016,1
35,1388.86,0.2005,7,1,0,0,0,0.3516,1
75,6210.47,0.0668,3,0,0,0,0,0.2988,0
53,3727.85,0.6285,7,0,0,0,0,0.7399,1
47,3200.84,0.085,9,1,0,0,0,0.3357,0
78,1358.6,0.2415,7,1,0,0,0,0.1916,0
56,2022.58,0.5099,7,0,0,0,0,0.1145,0
74,7474.04,0.2247,7,2,0,0,0,0.0449,0
79,3212.62,0.124,9,0,0,0,0,0.2193,0
25,4302.88,0.315,5,2,0,0,1,0.4005,1
42,2147.97,0.2824,9,0,0,0,0,0.4192,1
64,3578.03,0.1383,7,0,0,0,0,0.1231,0
68,1598.32,0.5677,6,2,0,0,0,0.5179,1
29,3865.82,0.2716,6,4,0,0,0,0.6206,1
39,4547.73,0.3311,4,1,1,0,0,0.2183,1
53,4413.26,0.17,11,3,0,0,1,0.1451,0
68,2117.2,0.2872,5,1,0,0,0,0.1055,0
27,2965.41,0.2119,8,1,1,1,0,0.2343,0
56,5025.68,0.2225,5,3,0,0,0,0.4671,0
38,3207.15,0.4294,3,1,0,0,0,0.6186,1
33,3064.43,0.5962,10,0,0,1,0,0.4891,0
51,11408.12,0.1462,7,1,1,0,0,0.263,1
45,2057.83,0.3437,6,1,0,0,0,0.7235,0
58,6962.2,0.3674,2,0,1,0,0,0.1352,1
39,1821.09,0.3527,9,1,0,0,0,0.0684,0
69,5393.06,0.1182,5,2,0,1,0,0.4583,1
25,5568.56,0.0583,4,0,1,1,0,0.1129,1
71,2680.56,0.1862,8,1,1,0,0,0.4596,1
22,1753.75,0.4006,8,0,0,0,0,0.0717,0
64,1116.26,0.5631,10,0,0,0,0,0.2815,1
41,2517.27,0.0628,4,0,1,0,0,0.7406,0
43,4992.7,0.4131,10,0,0,0,0,0.2411,0
22,1907.26,0.1105,4,1,0,0,0,0.5546,0
62,3859.02,0.6663,4,2,1,0,0,0.2483,1
30,1501.38,0.2127,3,1,0,1,0,0.1406,1
59,3164.24,0.4589,5,1,0,0,1,0.1662,1
63,1829.46,0.2063,6,1,1,0,0,0.0021,0
70,3474.52,0.6047,8,1,0,1,0,0.5242,1
62,2695.54,0.3072,6,0,0,0,0,0.2023,0
38,1782.51,0.2077,5,1,0,0,0,0.3617,1
64,2452.04,0.0186,7,4,0,1,0,0.3432,0
69,2078.72,0.2678,6,1,0,0,0,0.4205,1
39,1655.15,0.557,4,1,0,0,0,0.2956,1
28,6971.93,0.1584,3,2,0,0,0,0.2134,0
73,2933.33,0.4004,5,1,0,0,0,0.6401,0
29,971.33,0.19,8,2,2,0,0,0.3718,1
56,2504.97,0.1436,8,2,1,0,0,0.4701,0
34,6303.29,0.078,7,3,0,0,0,0.7564,1
28,2305.8,0.2524,9,0,0,0,0,0.7586,1
66,8943.18,0.2795,3,0,0,0,0,0.096,1
29,2177.65,0.5168,7,0,0,0,0,0.7439,1
60,4924.83,0.1446,7,1,0,0,0,0.0894,0
61,6781.7,0.5267,2,1,0,0,0,0.3741,1
24,4770.07,0.037,6,0,0,0,0,0.1705,0
31,1596.08,0.0696,4,1,0,0,0,0.3922,0
67,2068.38,0.2267,5,0,0,1,0,0.4775,0
50,7346.97,0.0346,8,2,0,1,0,0.1015,0
28,2246.73,0.1398,8,1,0,0,1,0.0078,1
79,6538.13,0.3777,11,0,0,0,0,0.249,1
36,2812.5,0.1459,2,1,0,0,0,0.5157,0
21,3963.42,0.4461,11,1,0,0,0,0.1108,1
75,1584.99,0.2585,4,2,0,1,0,0.4356,1
21,2527.64,0.2702,8,0,0,0,0,0.3968,1
53,2153.43,0.0512,7,0,0,1,0,0.1952,0
79,4168.7,0.2044,2,1,1,0,0,0.1411,1
55,3850.35,0.2059,9,0,2,0,1,0.1646,0
55,4805.85,0.2934,1,3,0,1,0,0.1555,1
43,2712.66,0.7137,4,0,1,0,0,0.2263,1
28,2083.62,0.4048,8,0,0,0,0,0.4886,0
54,4062.84,0.1673,13,1,0,1,0,0.2897,0
73,1963.03,0.3856,5,1,0,0,0,0.0911,1
26,6953.87,0.2183,2,1,1,0,0,0.4286,1
72,3399.17,0.3567,5,0,1,0,0,0.2124,0
45,2993.86,0.1723,6,1,0,0,0,0.4561,1
52,4804.49,0.2411,6,0,1,0,1,0.8947,1
30,3477.89,0.4177,10,0,0,0,0,0.149,1
57,1346.37,0.1179,7,1,1,0,0,0.3444,0
31,1925.89,0.0185,4,1,0,0,0,0.1537,1
37,6867.98,0.2356,4,2,0,0,0,0.131,0
63,3828.89,0.3727,5,2,1,1,0,0.0667,1
23,1327.51,0.2608,5,1,1,0,0,0.2017,0
47,4497.46,0.2142,3,0,1,0,0,0.1822,0
56,2603.06,0.5872,2,1,0,0,0,0.1568,1
28,2154.47,0.2829,5,2,0,0,1,0.0879,1
38,1831.84,0.0365,2,3,0,0,0,0.6084,0
41,6633.96,0.3058,8,0,0,0,0,0.3167,1
60,1119.57,0.3447,2,3,0,0,0,0.0585,0
78,2202.79,0.434,4,1,0,0,1,0.0793,0
70,3913.06,0.1979,2,3,1,0,0,0.3166,0
32,9386.41,0.2759,13,1,1,0,0,0.5219,1
22,5076.18,0.1277,8,1,1,0,0,0.2189,0
24,2191.6,0.5487,3,0,1,0,0,0.3144,1
56,9114.41,0.1588,4,1,0,0,0,0.0835,0
30,1614.73,0.3125,8,0,0,0,0,0.0591,0
34,4269.29,0.3183,5,0,0,0,0,0.2039,1
70,4878.88,0.0357,5,1,0,0,0,0.5301,1
72,2145.94,0.252,6,0,1,0,0,0.3971,1
70,5533.39,0.3703,7,2,0,1,0,0.1301,1
35,2674.9,0.3194,7,1,1,0,0,0.1742,0
57,5525.26,0.441,4,0,1,0,0,0.2626,0
57,1207.42,0.233,6,1,0,0,0,0.5526,0
31,4451.45,0.536,4,4,1,0,0,0.5004,1
53,2843.34,0.3613,5,2,0,0,0,0.1108,1
51,7257.73,0.3959,8,0,0,0,0,0.2359,1
44,3546.13,0.265,3,1,0,0,0,0.1896,0
65,7704.33,0.4343,4,1,0,0,0,0.4343,0
60,4937.27,0.0492,5,2,0,0,0,0.3752,0
52,3372.79,0.3791,13,0,0,1,0,0.2477,0
63,5840.67,0.362,5,0,0,0,0,0.3989,0
66,5863.11,0.0243,3,1,0,0,0,0.3996,0
54,4832.63,0.36,6,0,0,0,0,0.8042,1
36,920.23,0.2975,7,3,0,1,0,0.5202,0
65,2019.21,0.2107,6,1,0,0,0,0.8689,1
63,8353.73,0.2168,8,4,0,0,0,0.6992,1
79,1713.74,0.0599,2,1,0,0,0,0.425,0
29,6182.49,0.1364,4,1,0,0,0,0.6803,0
45,5562.88,0.1742,5,0,0,0,0,0.6016,0
75,2355.59,0.277,8,2,1,0,0,0.1504,0
51,1099.78,0.1789,10,0,0,0,0,0.0741,0
76,2588.03,0.3262,4,2,0,0,0,0.6715,1
21,12667.68,0.462,5,0,1,0,0,0.4974,0
23,2169.03,0.3096,7,4,0,1,0,0.2938,1
67,2260.74,0.1306,9,1,0,0,1,0.7073,1
42,2001.1,0.2065,4,1,1,0,1,0.4702,1
51,7546.74,0.1886,9,1,0,0,0,0.3608,1
46,3147.14,0.4474,9,1,1,0,0,0.0339,1
45,2501.03,0.374,7,0,0,0,0,0.2074,0
76,8502.24,0.7046,6,1,1,0,0,0.4084,0
26,5154.87,0.6476,6,3,1,0,0,0.0502,1
66,2097.34,0.204,5,3,0,0,0,0.0519,0
73,1747.34,0.1728,10,0,0,0,0,0.2839,0
59,7294.69,0.4119,8,2,0,0,1,0.5261,1
44,3677.81,0.1091,7,0,0,1,0,0.0916,1
30,1437.36,0.3954,4,0,0,0,0,0.2196,1
61,1249.04,0.2419,7,0,1,0,0,0.1763,1
48,1863.81,0.2068,4,2,0,0,0,0.2255,0
29,1730.75,0.0447,3,0,0,0,0,0.415,0
42,1066.73,0.4656,3,1,0,0,0,0.1066,0
77,1882.39,0.0555,4,0,0,0,0,0.5081,0
36,2097.61,0.2765,3,1,0,0,1,0.5578,1
31,2758.36,0.2202,3,1,1,0,0,0.326,1
61,10054.2,0.1429,8,2,0,0,0,0.3463,0
32,3102.28,0.2148,5,3,0,1,0,0.4117,1
75,3292.67,0.2518,8,1,0,0,0,0.0032,0
71,4942.14,0.3891,4,2,1,0,0,0.3296,0
79,3157.73,0.278,5,1,0,0,0,0.482,0
74,4628.98,0.5501,6,3,1,0,0,0.5347,1
35,4308.6,0.3976,11,1,0,0,0,0.4137,1
33,3918.85,0.1626,6,3,0,0,0,0.39,0
41,19146.59,0.3042,3,0,0,0,0,0.0673,0
48,6289.74,0.0932,4,0,0,0,1,0.4577,1
72,1902.58,0.2132,10,2,0,0,0,0.5384,0
64,4546.59,0.2545,7,2,1,0,1,0.087,1
59,2264.16,0.0682,6,1,0,0,0,0.1535,0
72,4758.8,0.166,4,1,0,1,0,0.1248,1
59,1595.41,0.455,8,4,0,0,0,0.6075,0
43,1873.07,0.424,4,1,1,0,1,0.2811,1
45,4475.37,0.1946,5,3,0,0,0,0.0958,1
51,6624.97,0.6522,5,0,1,1,0,0.3142,1
26,4922.57,0.4443,5,4,0,0,0,0.3779,1
64,6078.24,0.3884,7,1,0,0,0,0.5337,1
59,4556.41,0.1025,4,0,1,1,0,0.4011,1
64,4037.97,0.1534,9,0,0,0,0,0.4791,0
52,2691.31,0.1613,11,0,0,0,0,0.3352,0
67,5930.13,0.0488,6,0,0,0,0,0.003,0
77,6734.02,0.3055,12,2,2,1,0,0.309,0
54,3505.65,0.1202,4,0,0,0,0,0.2612,0
47,3394.27,0.451,8,0,1,1,0,0.254,1
27,9460.15,0.3443,9,2,1,0,0,0.214,1
66,3596.61,0.4374,4,2,0,0,0,0.3703,0
74,3810.1,0.1641,11,0,1,0,0,0.8997,0
62,4868.47,0.3726,7,0,0,0,0,0.5346,1
72,3433.43,0.5324,7,1,1,0,0,0.6238,0
71,2225.63,0.252,0,3,0,0,0,0.2233,0
68,4567.77,0.3298,6,2,0,0,0,0.0943,1
50,3557.26,0.3281,9,3,1,0,0,0.4075,0
26,10996.69,0.4399,8,0,0,1,0,0.5511,1
21,5843.41,0.2573,5,2,0,0,0,0.5611,1
33,2547.1,0.2007,4,1,1,0,1,0.1843,1
46,5638.85,0.0807,8,1,0,0,0,0.0794,0
64,4379.63,0.1661,6,1,1,0,0,0.5981,1
47,7987.68,0.033,6,0,1,0,0,0.4944,0
22,2658.0,0.4481,7,1,0,0,1,0.2056,1
33,4077.36,0.0471,6,0,0,0,0,0.2667,0
78,3430.78,0.3826,7,0,0,0,0,0.3644,0
79,3770.97,0.5685,7,1,1,0,0,0.5994,0
43,2140.68,0.5388,6,3,0,0,0,0.5154,0
68,5143.8,0.2014,7,3,0,1,0,0.0177,1
63,4678.71,0.1028,5,1,0,0,0,0.3323,0
75,7872.53,0.4069,3,1,0,0,0,0.2686,0
73,3619.11,0.1093,8,0,1,0,0,0.2706,1
58,2843.8,0.1217,2,1,0,0,0,0.0734,0
44,5846.37,0.3907,4,3,1,0,0,0.3656,1
